PAUSED	暂停	menu_paused
Path of dark flame	黑焰之道	action_darkflame
A trail of dark, deadly flames	致命黑焰之轨迹	actiondesc_darkflame
Summon missile	导弹	action_missile
A missile!!!	导弹来袭！！！	actiondesc_missile
Summon rock spirit	召唤岩石精怪	action_pebble
Summons an autonomous rock ally	召唤一个自行移动的岩石伙伴	actiondesc_pebble
Dynamite	炸药	action_dynamite
Summons a small explosive	召唤一枚小型爆炸物	actiondesc_dynamite
Bomb	炸弹	action_bomb_legacy
Summons a bomb that destroys ground very efficiently	召唤一枚破坏地面极为高效的炸弹	actiondesc_bomb_legacy
Bomb	炸弹	action_bomb
Summons a bomb that destroys ground very efficiently	召唤一枚破坏地面极为高效的炸弹	actiondesc_bomb
Holy Bomb	神圣炸弹	action_bomb_holy
Summons a bomb that... well...	召唤一枚炸弹，效果嘛... 呃...	actiondesc_bomb_holy
Throwing Knife	飞刀	action_knife
Very deadly!	刀刀毙命！	actiondesc_knife
Earthquake	地震	action_crumbling_earth
Calls the anger of the earth	呼唤大地的愤怒	actiondesc_crumbling_earth
Circle shot	圆环魔弹	action_circleshot_a
Projectiles fly out in a circular pattern	以圆环形式飞出的投射物	actiondesc_circleshot_a
Spiral shot	螺旋魔弹	action_circleshot_b
Projectiles fly out in a spiral pattern	以螺旋形式飞出的投射物	actiondesc_circleshot_b
Acid ball	酸液球	action_acidshot
A terrifying acidic projectile	可怕的酸蚀投射物	actiondesc_acidshot
Thunder charge	雷霆冲击	action_thunderball
A projectile with immense stored electricity	储存有强大电力的投射物	actiondesc_thunderball
Slime arc	黏液弧	action_bloomshot
Spells cast alongside this will have arcs of slime flowing between them	投射物之间流过一道黏液之弧	actiondesc_bloomshot
Ice circle	冰环	action_icecircle
Shoots icy projectiles in a circle	以环形发射冰之投射物	actiondesc_icecircle
Firebomb	小火球	action_firebomb
Slow, fiery bolt	缓慢而炽烈的魔弹	actiondesc_firebomb
Chunk of soil	一把泥土	action_soilball
Don't soil yourself	别把自己弄脏了	actiondesc_soilball
Homing orb	追踪魔球	action_pink_orb
A dangerous, homing orb	危险的追踪魔球	actiondesc_pink_orb
Death cross	死亡十字	action_death_cross
A deadly energy cross that explodes after a short time	短暂时间后爆炸的致命能量十字	actiondesc_death_cross
Plasma flare	电浆闪光	action_plasma_flare
A magical projectile that accelerates quickly	加速迅速的魔法投射物	actiondesc_plasma_flare
Key shot	致命射击	action_keyshot
A powerful projectile. Nothing out of ordinary	强大的投射物。没什么特别的	actiondesc_keyshot
Mana	法力	action_mana
Extra mana	额外法力	actiondesc_mana
Skull	头颅	action_skull
Scary skull!!!	可怕的颅骨！！	actiondesc_skull
shoots debug material	shoots debug material	action_material_debug
ONLY TO BE USED IN DEBUG MODE!	只能在 debug 模式下使用	actiondesc_material_debug
shoots liquid	shoots liquid	action_material_liquid
Drop it in liquid and shoot it!	放入液体然后将其发射！	actiondesc_material_liquid
Toxic mist	毒雾	action_mist_radioactive
A cloud of toxic mist	气态毒性淤泥构成的云雾	actiondesc_mist_radioactive
mist of spirits	酒雾	action_mist_alcohol
A cloud of potent alcohol	烈酒构成的云雾	actiondesc_mist_alcohol
Slime mist	黏液雾	action_mist_slime
A cloud of slimy mist	黏液构成的云雾	actiondesc_mist_slime
Blood mist	血雾	action_mist_blood
A cloud of blood mist	血液构成的云雾	actiondesc_mist_blood
Circle of fire	烈火之环	action_circle_fire
An expanding circle of burning air	炽燃空气组成的扩散之环	actiondesc_circle_fire
Circle of acid	酸液之环	action_circle_acid
An expanding circle of dripping acid	酸液液滴组成的扩散之环	actiondesc_circle_acid
Circle of oil	油液之环	action_circle_oil
An expanding circle of slick oil	粘滑油液组成的扩散之环	actiondesc_circle_oil
Circle of water	清水之环	action_circle_water
An expanding circle of water	清水组成的扩散之环	actiondesc_circle_water
Water	水	action_material_water
Transmute drops of water from nothing	凭空出现的水滴	actiondesc_material_water
Oil	油	action_material_oil
Transmute drops of oil from nothing	凭空出现的油滴	actiondesc_material_oil
Blood	血液	action_material_blood
Blood blood blood	鲜血淋漓！	actiondesc_material_blood
Acid	酸液	action_material_acid
Transmute drops of acid from nothing	凭空出现的酸液滴	actiondesc_material_acid
Cement	水泥	action_material_cement
Transmute drops of wet cement from nothing	凭空出现的湿水泥	actiondesc_material_cement
Lava	岩浆	action_material_lava
Transmute globs of lava from nothing	凭空出现的一团岩浆	actiondesc_material_lava
Explosive gunpowder	爆炸性火药	action_material_gunpowder_explosive
Transmute grains of gunpowder from nothing	凭空出现的小堆火药	actiondesc_material_gunpowder_explosive
Dirt	尘土	action_material_dirt
Transmute grains of dirt from nothing	凭空出现的小片尘土	actiondesc_material_dirt
Wooden mold	木质模具	action_building_board_wood
Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.	对水泥建筑有效，需要太阳能充电	actiondesc_building_board_wood
Back wall (rock)	后壁(岩石)	action_building_back_wall_rock
Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.	提供结构支撑。需要太阳能充电。	actiondesc_building_back_wall_rock
Pressure plate	压板	action_building_pressure_plate
Temple door	圣殿之门	action_building_physics_templedoor
Teleport bolt	传送魔弹	action_teleport_projectile
A magical bolt that moves you wherever it ends up flying	将你传送到其结束飞行位置的魔法弹	actiondesc_teleport_projectile
Teleport home	回城术	action_teleport_home
Creates a portal to the surface that can be used once per each direction	产生一个通往地面的传送门，每次出行可使用一次	actiondesc_teleport_home
LEVITATION projectile	漂浮投射物	action_levitation_projectile
Levitation stuff	漂浮着的玩意	actiondesc_levitation_projectile
Nuke	核弹	action_nuke
Take cover!	快找掩体！	actiondesc_nuke
TNT	TNT	action_high_explosive
Extremely powerful explosive projectile	爆炸力极强的投射物	actiondesc_high_explosive
Drone	无人机	action_drone
More powerful digging	更强的挖掘力	actiondesc_drone
LAVA	岩浆	action_baab_lava
WATER	水	action_baab_water
POOP	粑粑	action_baab_poop
LOVE	爱	action_baab_love
Fireworks!	烟火！	action_firework
A fiery, explosive projectile	炽烈易爆的投射物	actiondesc_firework
projectile	投射物	projectile_default
Critical Hit +	暴击率 +	perk_critical_hit
You get more critical hits	提高暴击几率	perkdesc_critical_hit
Breathless	屏息静气	perk_breath_underwater
You won't drown when submerged.	被淹没时不会窒息。	perkdesc_breath_underwater
Greed	贪婪	perk_extra_money
You gain double the gold per nugget.	敌人被你击杀时，掉落的黄金 x2。	perkdesc_extra_money
Trick Greed	技巧贪婪	perk_extra_money_trick_kill
4x instead of 2x gold is dropped when death is an accident.	造成敌人意外死亡时，掉落黄金 x4（原为 x2）。	perkdesc_extra_money_trick_kill
Strong Levitation	强漂浮力	perk_hover_boost
You can fly 100% longer.	你的飞行时间加倍。	perkdesc_hover_boost
Faster Movement	更快移动	perk_movement_faster
Your movement speed is increased.	你的移动速度加快。	perkdesc_movement_faster
Repelling Cape	驱散斗篷	perk_repelling_cape
Stains drop at a fast rate (when moving).	（移动时）脏污褪去的速度加快。	perkdesc_repelling_cape
Exploding Corpses	爆尸	perk_exploding_corpses
Enemies explode upon death.	敌人死亡时会爆炸。	perkdesc_exploding_corpses
Saving Grace	死里逃生	perk_saving_grace
If you would die and have more than 1 HP, your HP is set to 1 instead.	生命值高于 1 时，将以生命值降为 1 代替死亡。	perkdesc_saving_grace
Invisibility	隐身	perk_invisibility
You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.	你隐身了。脏污、施放法术、踢击和受伤会暂时令你可见。	perkdesc_invisibility
More Blood	更多血液	perk_global_gore
Blood blood blood.	鲜血淋漓！	perkdesc_global_gore
No Damage Flash	无伤害闪烁	perk_no_damage_flash
Pain is inevitable, but damage flash is optional.	痛苦无可避免，但伤害闪烁可以选择。	perkdesc_no_damage_flash
Slicky Slime	滑溜黏液	perk_reverse_slowdown
Instead of slowing you down, slime allows you to move faster.	黏液不会让你减速，反而令你移动速度加快。	perkdesc_reverse_slowdown
Extra Health	追加生命值	perk_extra_hp
You gain 50% extra maximum health.	增加50%生命值上限。	perkdesc_extra_hp
Glass Cannon	玻璃大炮	perk_glass_cannon
Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.	你的法术伤害 x5，并获得更大的爆炸半径，但你的生命值上限将限制在 50。	perkdesc_glass_cannon
Extra Life	额外生命	perk_respawn
Upon death you respawn with 100 health.	死亡时，你将以 100 生命值重生。只能生效一次。	perkdesc_respawn
Fire Immunity	火焰免疫	perk_protection_fire
You take no damage from fire.	火焰不会对你造成伤害。	perkdesc_protection_fire
Toxic Sludge Immunity	毒液免疫	perk_protection_radioactivity
You take no damage from toxic sludge.	液态毒性淤泥不会对你造成伤害。	perkdesc_protection_radioactivity
Explosion Immunity	爆炸免疫	perk_protection_explosion
You take no direct damage from explosions.	爆炸不会对你造成直接伤害。	perkdesc_protection_explosion
Melee Immunity	近战免疫	perk_protection_melee
You take no damage from close-range enemy attacks.	敌人的近距离攻击不会对你造成伤害。	perkdesc_protection_melee
Electricity Immunity	雷电免疫	perk_protection_electricity
You take no damage from electric shocks.	电击不会对你造成伤害。	perkdesc_protection_electricity
Teleportitis	受伤传送	perk_teleportitis
You take 20% less damage. You teleport away every time you're hurt.	受到伤害减少 20%。每次受到伤害时，传送自身。	perkdesc_teleportitis
Stainless Armour	光洁铠甲	perk_stainless_armour
You take 50% less damage as long as you have no active stain status effect.	没有受到脏污效果影响时，受到伤害减少 50%。	perkdesc_stainless_armour
Tinker With Wands Everywhere	随时修改魔杖	perk_edit_wands_everywhere
A divine blessing allows you to tinker with wands everywhere.	神圣祝福令你能够随地修改魔杖。	perkdesc_edit_wands_everywhere
Homing Shots	追踪法术	perk_projectile_homing
Your spells home towards enemies very slightly.	你所有法术都会轻微追踪敌人。	perkdesc_projectile_homing
Freeze Field	冰冻领域	perk_freeze_field
Liquids freeze in your presence.	冻结你附近的液体。	perkdesc_freeze_field
Dissolve Powders	粉末消融	perk_dissolve_powders
Sand and other soft, powdery materials dissolve quickly in your presence.	砂粒以及其他柔软粉末状材料会在你附近快速消融。	perkdesc_dissolve_powders
Slime Blood	粘稠血液	perk_bleed_slime
Permanent Shield	永久护盾	perk_shield
You gain a small, permanent shield.	你获得一面永久性的小型护盾。	perkdesc_shield
Revenge Explosion	以爆制暴	perk_revenge_explosion
When you take damage, you release a magical explosion that hurts enemies around you.	受伤时，你会放出魔法爆炸，反击伤害你的敌人。	perkdesc_revenge_explosion
Electricity	掌控雷电	perk_electricity
You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!	免疫雷电伤害，但附近的金属和液体经常会通电。小心哟！	perkdesc_electricity
Mystery Eggplant	神秘的茄子	perk_mystery_eggplant
It breaks easily.	很容易折断。	perkdesc_mystery_eggplant
Double Health, No Regeneration	双倍生命，没有再生	perk_double_hp
Your maximum HP is doubled, but you take 20% more damage from projectiles.	你的最大生命值变为两倍，但投射物额外对你造成 20% 伤害。	perkdesc_double_hp
Berserk	狂暴	perk_berserk
The less HP you have, the more damage your spells deal, up to +300% extra damage.	你的生命值越低，你法术可造成的伤害越高，最多可造成 +300% 的额外伤害。	perkdesc_berserk
Shuffle Wands	魔杖重洗	perk_shuffle_wands
All your wands are replaced with random wands of approximately equal power.	你的所有魔杖被随机替换为强度近似的其他魔杖。	perkdesc_shuffle_wands
Heavy Ammo	强大火力	perk_heavy_ammo
You gain a selection of 2 powerful spells.	获得 2 种强大法术。	perkdesc_heavy_ammo
Liquid Movement	如鱼得水	perk_liquid_movement
Liquids don't affect your movement at all.	液体完全无法影响你的移动。	perkdesc_liquid_movement
Faster Swimming	更快游泳	perk_faster_swimming
You swim faster.	你的游泳速度变快了。	perkdesc_faster_swimming
Extra Item In Holy Mountain	额外圣山物品	perk_extra_shop_item
There will be an additional item in every Holy Mountain you haven't discovered yet.	在你尚未造访的每座神圣之山中追加一件额外商品。	perkdesc_extra_shop_item
Burning Poison	以火攻毒	perk_poison_burn
Your projectiles have a chance to ignite poisoned enemies.	你的投射物有几率点燃中毒的敌人。	perkdesc_poison_burn
Low Gravity	低重力	perk_low_gravity
Your movement is floatier and you can jump and fly higher.	你的移动变的轻浮，可以跳或飞得更高。	perkdesc_low_gravity
Destruction Enhancement	破坏增强	perk_destruction_enhancement
You can destroy the environment more effectively.	你对环境造成破坏的效率提升。	perkdesc_destruction_enchancement
Damaging Aura	伤害光环	perk_damaging_aura
Your spells damage nearby enemies even if they don't hit them.	即使没有命中，你的法术也能对附近敌人造成伤害。	perkdesc_damaging_aura
Thunder Kick	雷霆踢击	perk_thunder_kick
Your kicks instantly kill most foes, and push objects more.	你的踢击能够瞬杀绝大多数敌人，并且能将物体推得更远。	perkdesc_thunder_kick
Better Vision	更好视野	perk_vision
You can see more into the darkness.	你可透过黑暗看到更宽阔的区域。	perkdesc_vision
Telepathic Presence	心灵感应	perk_telepathic_vision
Darkness is no more, but enemies always know where you are.	黑暗不复存在，但敌人始终知道你的位置。	perkdesc_telepathic_vision
No More Knockback	不动如山	perk_no_more_knockback
Enemies can no longer knock you back.	敌人不再能将你击退。	perkdesc_no_more_knockback
Controllable Knockback	可控击退。	perk_knockback_control
You can steer while being knocked back.	在被击退过程中仍可控制方向。	perkdesc_knockback_control
Roll Again	再次抽选	perk_roll_again
You get a new set of perks to choose from.	获得新的一组天赋以供选择。	perkdesc_roll_again
Reveal Secrets	揭晓秘密	perk_reveal_secrets
Chests, hearts and other items shine through darkness.	宝箱、心与其他物品会在黑暗中闪闪发亮。	perkdesc_reveal_secrets
Potion Drop	烧瓶掉落	perk_potion_drop
Enemies have a chance of dropping a random potion upon death.	敌人死亡时一定几率掉落一个随机魔药烧瓶。	perkdesc_potion_drop
Mystery Egg	神秘的蛋	perk_mystery_egg
Something may hatch from it!	可能会孵出什么玩意！	perkdesc_mystery_egg
Golden I	黄金眼	perk_gold_no_disappear_while_seen
Gold doesn't disappear as long as it can be seen.	在视野中的黄金不会消失。	perkdesc_gold_no_disappear_while_seen
Mana Discount	法力折扣	perk_mana_discount
All spells cost 50% less mana.	所有法术消耗的法力减半。	perkdesc_mana_discount
Juggernaut Spells	重型法术	perk_juggernaut
Your projectiles deal 30% more damage, but are 30% slower.	所有投射物额外造成 30% 伤害，但速度降低 30%。	perkdesc_juggernaut
Big Potions	大号烧瓶	perk_big_potions
Potions you find contain double the liquid.	你找到的烧瓶中，内容物加倍。	perkdesc_big_potions
Extra Charges	追加充能	perk_extra_charges
Spells with limited uses can be used twice as many times.	使用次数有限的法术，其最大使用次数加倍。	perkdesc_extra_charges
Fast Projectiles	加速法术	perk_fast_projectiles
All projectiles fly at double speed.	所有投射物飞行速度加倍。	perkdesc_fast_projectiles
Deadly Environment	致命环境	perk_deadly_environment
Creatures take increased damage from poison and other liquids, fire, and more.	敌人会因毒素和其他液体、火焰、等受到更大的伤害。	perkdesc_deadly_environment
Cursed Power	诅咒之力	perk_cursed_power
All your wands gain extra damage but become uncustomizable.	你的所有魔杖伤害提升，但不可进行修改。	perkdesc_cursed_power
Randomize Spells	随机法术	perk_randomize_spells
All spells in your inventory are replaced with a random spell.	你物品栏中的所有法术将由随机性法术替代。	perkdesc_randomize_spells
Personal Raincloud	专属雨云	perk_personal_raincloud
You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.	站在水池中时你可以吸水，并在射击跟随你的云朵时将其释放。	perkdesc_personal_raincloud
Helper Orb	助手魔球	perk_helper_orb
An orb flies near you and attacks your enemies.	一个在你附近飞行并会攻击敌人的球体。	perkdesc_helper_orb
Extra Wand Storage	额外魔杖栏	perk_extra_wand_slot
You can carry one extra wand.	可额外持有一支魔杖。	perkdesc_extra_wand_slot
Extra Item Storage	额外物品栏	perk_extra_potion_slot
You can carry one extra item.	可额外持有一件物品。	perkdesc_extra_potion_slot
Extra Spell Storage	额外法术空间	perk_extra_action_storage
You gain more room for spells	获得额外的空间，可容纳更多法术。	perkdesc_extra_action_storage
Persuasion	魅惑	perk_persuasion
Enemies with low health may start fighting for you.	生命值较低的敌人会为你而战。	perkdesc_persuasion
Floor Is Lava	岩浆地表	perk_permanent_flying
You can fly forever, but standing on the ground deals you damage over time.	你可以永久飞行，但站在地面会受到持续伤害。	perkdesc_permanent_flying
Melting Corpses	融尸	perk_melt
Your enemies' corpses melt into slime.	你敌人的尸体会化为黏液。	perkdesc_melt
Double Cast	二重施放	perk_double_cast
Your wands cast one extra spell when used.	你的所有魔杖在使用时都会额外施放一个法术。	perkdesc_double_cast
Bombs Materialized	炸弹物品化	perk_ability_actions_materialized
Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.	类似炸弹的法术可放置于物品栏中，如同投掷物品一般使用。	perkdesc_ability_actions_materialized
air	空气	mat_air
fire	火焰	mat_fire
spark	火花	mat_spark
spark	火花	mat_spark_green
spark	火花	mat_spark_blue
spark	火花	mat_spark_red
spark	火花	mat_spark_white
spark	火花	mat_spark_yellow
spark	火花	mat_spark_purple
spark	火花	mat_spark_player
spark	火花	mat_spark_teal
electric spark	电火花	mat_spark_electric
fire	火焰	mat_flame
ground	地面	mat_sand_static
lush ground	葱郁地面	mat_sand_static_rainforest
bone wall	骨墙	mat_bone_static
rusted metal	锈蚀金属	mat_rust_static
granite ground	花岗岩地面	mat_sand_static_bright
rusty ground	锈蚀地面	mat_sand_static_red
nest	巢穴	mat_nest_static
blue fungus	蓝色真菌	mat_bluefungi_static
cheese	奶酪	mat_cheese_static
rock	岩石	mat_rock_static
rock	岩石	mat_rock_static_intro
Water	水	mat_water_static
hell slime	地狱黏液	mat_endslime_static
slime	黏液	mat_slime_static
dense rock	致密岩石	mat_rock_hard
rock	岩石	mat_rock_static_noedge
extremely dense rock	极度致密岩石	mat_rock_hard_border
magic gate	魔法门	mat_rock_magic_gate
magic wall	魔法墙	mat_rock_magic_bottom
eroding rock	侵蚀岩石	mat_rock_eroding
vault rock	拱顶石	mat_rock_vault
coal vein	煤矿矿脉	mat_coal_static
grey rock	灰色岩石	mat_rock_static_grey
toxic rock	毒性淤泥岩石	mat_rock_static_radioactive
poisonous rock	毒素岩石	mat_rock_static_poison
hell rock	地狱岩	mat_skullrock
damp rock	潮湿岩石	mat_rock_static_wet
volcanic rock	火山岩	mat_lavarock_static
lava	岩浆	mat_lava
meteorite	陨石	mat_meteorite_static
brickwork	砖块	mat_templerock_static
brickwork	砖块	mat_templebrick_static
brickwork	砖块	mat_templebrick_noedge_static
brickwork	砖块	mat_templebrick_thick_static
brickwork	砖块	mat_templebrickdark_static
brickwork	砖块	mat_templeslab_static
brickwork	砖块	mat_templeslab_crumbling_static
glowing stone	发光石	mat_glowstone
glowing stone	发光石	mat_glowstone_altar
glowing stone	发光石	mat_glowstone_potion
brickwork	砖块	mat_templebrick_red
mossy brickwork	苔砖块	mat_templebrick_moss_static
hell rock	地狱岩	mat_the_end
steel	钢	mat_steel_static
mossy steel	苔钢	mat_steelmoss_static
mossy steel	苔钢	mat_steelmoss_slanted
smoking steel	冒烟的钢	mat_steelsmoke_static
metal pipe	钢管	mat_steelpipe_static
dense steel	高密度钢	mat_steel_static_strong
hardened steel	硬化钢	mat_steel_static_unmeltable
glowing matter	发光物质	mat_rock_static_glow
packed snow	压实的雪	mat_snow_static
ice	寒冰	mat_ice_static
rock	岩石	mat_rock_static_intro_breakable
frozen blood	冻结的血	mat_ice_blood_static
frozen acid	酸冰	mat_ice_acid_static
ice	寒冰	mat_ice_cold_static
toxic ice	毒冰	mat_ice_radioactive_static
ice	寒冰	mat_ice_meteor_static
neon tube	霓虹灯	mat_tubematerial
glass	玻璃	mat_glass_static
rock	岩石	mat_waterrock
ice	寒冰	mat_ice_glass
neon tube	霓虹灯	mat_tube_physics
frozen acid	酸冰	mat_ice_acid_glass
ice	寒冰	mat_ice_cold_glass
toxic ice	毒冰	mat_ice_radioactive_glass
ice	寒冰	mat_ice_glass_b2
brittle glass	易碎玻璃	mat_glass_brittle
frozen rock	冻结岩石	mat_snowrock_static
concrete	混凝土	mat_concrete_static
wood	木材	mat_wood_static
damp wood	潮湿木材	mat_wood_static_wet
brick wall	砖墙	mat_creepy_liquid_emitter
gold vein	黄金矿脉	mat_gold_static
vibrant gold vein	闪耀的黄金矿脉	mat_gold_static_dark
wood	木材	mat_wood_static_vertical
pressurized wood	耐压木材	mat_wood_static_gas
corrupted rock	崩坏的岩石	mat_corruption_static
smoke	烟	mat_smoke
smoke	烟	mat_smoke_explosion
steam	蒸汽	mat_steam
flammable gas	可燃气体	mat_acid_gas
flammable gas	可燃气体	mat_acid_gas_static
smoke	烟	mat_smoke_static
poison gas	毒气	mat_poison_gas
fungal gas	真菌气体	mat_fungal_gas
freezing vapour	冰冷蒸汽	mat_blood_cold_vapour
funky vapour	迷幻蒸汽	mat_sand_herb_vapour
toxic gas	毒液气体	mat_radioactive_gas
toxic gas	毒液气体	mat_radioactive_gas_static
Water	水	mat_water
Water	水	mat_water_fading
brine	盐水	mat_water_salt
Water	水	mat_water_temp
chilly water	冰水	mat_water_ice
swamp	沼泽	mat_water_swamp
oil	油	mat_oil
liquid fire	液态燃烧剂	mat_liquid_fire_weak
whiskey	威士忌	mat_alcohol
alchemic precursor	炼金溶液	mat_midas_precursor
draught of midas	点金之水	mat_midas
gate-opener	开门魔药	mat_magic_liquid
teleportatium	传送魔药	mat_magic_liquid_teleportation
healthium	再生魔药	mat_magic_liquid_hp_regeneration
lively concoction	活性混合物	mat_magic_liquid_hp_regeneration_unstable
polymorphine	变形魔药	mat_magic_liquid_polymorph
chaotic polymorphine	混乱变形魔药	mat_magic_liquid_random_polymorph
berserkium	狂暴魔药	mat_magic_liquid_berserk
pheromone	魅惑魔药	mat_magic_liquid_charm
invisiblium	隐形魔药	mat_magic_liquid_invisibility
cloud	云	mat_cloud
toxic mist	毒雾	mat_cloud_radioactive
alcohol mist	酒雾	mat_cloud_alcohol
blood mist	血雾	mat_cloud_blood
slime mist	黏液雾	mat_cloud_slime
swamp	黑沼泽	mat_swamp
mud	淤泥	mat_mud
fungal blood	真菌血液	mat_blood_fading_slow
worm blood	蠕虫血液	mat_blood_worm
freezing liquid	冰冷液体	mat_blood_cold
toxic sludge	毒性淤泥	mat_radioactive_liquid
toxic sludge	毒性淤泥	mat_radioactive_liquid_fading
magical liquid	魔法液体	mat_plasma_fading
magical liquid	魔法液体	mat_plasma_fading_green
magical liquid	魔法液体	mat_plasma_fading_pink
molten gold	熔化金水	mat_gold_molten
molten steel	熔化钢水	mat_steel_static_molten
molten steel	熔化钢水	mat_steelmoss_slanted_molten
molten steel	熔化钢水	mat_steelmoss_static_molten
molten steel	熔化钢水	mat_steelsmoke_static_molten
molten metal	熔化金属	mat_metal_molten
molten metal	熔化金属	mat_metal_rust_molten
molten metal	熔化金属	mat_metal_nohit_molten
molten aluminium	熔化铝液	mat_aluminium_molten
molten aluminium	熔化铝液	mat_aluminium_robot_molten
molten metal	熔化金属	mat_metal_prop_molten
molten steel	熔化钢水	mat_steel_rust_molten
molten aluminium	熔化铝液	mat_aluminium_oxide_molten
molten wax	熔化蜡油	mat_wax_molten
molten silver	熔化银汁	mat_silver_molten
molten copper	熔化铜水	mat_copper_molten
molten brass	熔化黄铜水	mat_brass_molten
molten glass	熔融玻璃	mat_glass_molten
molten glass	熔融玻璃	mat_glass_broken_molten
molten metal	熔化金属	mat_steel_molten
creepy liquid	恐怖液体	mat_creepy_liquid
cement	水泥	mat_cement
sand	砂	mat_sand
blue sand	蓝砂	mat_sand_blue
volcanic sand	火山砂	mat_lavasand
bone dust	骨灰	mat_bone
soil	泥土	mat_soil
barren soil	贫瘠泥土	mat_soil_dead
sandstone	砂岩	mat_sandstone
fungal soil	菌丝土	mat_fungisoil
honey	蜂蜜	mat_honey
pea soup	豌豆汤	mat_pea_soup
hell slime	地狱黏液	mat_endslime
hell slime	地狱黏液	mat_endslime_blood
dirt	尘土	mat_explosion_dirt
vine	藤蔓	mat_vine
vine	藤蔓	mat_root
snow	雪	mat_snow
rotten meat	腐肉	mat_rotten_meat
slimy meat	发黏的肉	mat_meat_slime_sand
green slimy meat	绿涩发黏的肉	mat_meat_slime_green
slimy meat	发黏的肉	mat_meat_slime_orange
toxic meat	有毒的肉	mat_rotten_meat_radioactive
worm meat	蠕虫的肉	mat_meat_worm
ice	寒冰	mat_ice
wax	蜡	mat_wax
gold	黄金	mat_gold
toxic gold	淬毒黄金	mat_gold_radioactive
copper	铜	mat_copper
silver	银	mat_silver
coal	煤	mat_coal
brass	黄铜	mat_brass
burning powder	燃烧粉末	mat_burning_powder
wet sodium	湿钠	mat_sodium_unstable
gunpowder	火药	mat_gunpowder
gunpowder	火药	mat_gunpowder_tnt
gunpowder	火药	mat_gunpowder_unstable
slimy meat	发黏的肉	mat_gunpowder_unstable_boss_limbs
plastic	塑料	mat_plastic_red
molten plastic	熔融塑料	mat_plastic_red_molten
molten plastic	熔融塑料	mat_plastic_molten
molten plastic	熔融塑料	mat_plastic_prop_molten
grass	草	mat_grass
moss	苔藓	mat_moss
rusty moss	锈色苔藓	mat_moss_rust
fungus	真菌	mat_fungi_green
seed	种子	mat_spore
seed	种子	mat_plant_material_red
seed	种子	mat_ceiling_plant_material
fungal spore	真菌孢子	mat_mushroom_seed
plant seed	植物种子	mat_plant_seed
fungal spore	真菌孢子	mat_mushroom
fungal spore	真菌孢子	mat_mushroom_giant_red
fungal spore	真菌孢子	mat_mushroom_giant_blue
evergreen seed	常绿种子	mat_bush_seed
acid	酸液	mat_acid
wood	木材	mat_wood_player_b2
wood	木材	mat_wood_player_b2_vertical
wood	木材	mat_wood
bomb	炸弹	mat_fuse
tnt	tnt	mat_fuse_tnt
holy matter	神圣物质	mat_fuse_holy
brickwork	砖块	mat_templebrick_box2d
wood	木材	mat_wood_trailer
wood	木材	mat_wood_wall
grass	草	mat_cactus
fungal matter	真菌物质	mat_grass_loose
wood	木材	mat_wood_prop
tough wood	硬木	mat_wood_prop_durable
nest	巢穴	mat_nest_box2d
cocoon	茧	mat_cocoon_box2d
wood	木材	mat_wood_loose
rock	岩石	mat_rock_loose
ice	寒冰	mat_ice_ceiling
brick wall	砖墙	mat_brick
collapsed concrete	坍塌的混凝土	mat_concrete_collapsed
tnt	tnt	mat_tnt
text	文本	mat_trailer_text
meteorite	陨石	mat_meteorite
meteorite	陨石	mat_meteorite_crackable
green meteorite	绿色陨石	mat_meteorite_green
steel	钢	mat_steel
rusted steel	锈蚀的钢	mat_steel_rust
rusted metal	锈蚀金属	mat_metal_rust_rust
rusted metal	锈蚀金属	mat_metal_rust_barrel_rust
plastic	塑料	mat_plastic
aluminium	铝	mat_aluminium
metal	金属	mat_metal_prop
metal	金属	mat_metal
rock	岩石	mat_rock_box2d_hard
rock	岩石	mat_rock_box2d_nohit
dense rock	致密岩石	mat_rock_box2d_nohit_hard
rock	岩石	mat_rock_static_box2d
rock	岩石	mat_rock_box2d
item	物品	mat_item_box2d
gem	宝石	mat_gem_box2d
glass	玻璃	mat_potion_glass_box2d
glass	玻璃	mat_glass_box2d
gem	宝石	mat_gem_box2d_pink
gem	宝石	mat_gem_box2d_red
gem	宝石	mat_gem_box2d_green
gem	宝石	mat_gem_box2d_orange
gold	黄金	mat_gold_box2d
metal	金属	mat_metal_nohit
rusted metal	锈蚀金属	mat_metal_rust
rusted metal	锈蚀金属	mat_metal_rust_barrel
bone	骨头	mat_bone_box2d
crystal	晶体	mat_crystal
purple crystal	紫水晶	mat_crystal_purple
crystal	水晶	mat_crystal_magic
aluminium	铝	mat_aluminium_oxide
meat	肉	mat_meat
urine	尿液	mat_urine
excrement	粪便	mat_poo
smoke	烟	mat_rocket_particles
ice	寒冰	mat_ice_melting_perf_killer
ice	寒冰	mat_ice_b2
glass	玻璃	mat_glass
neon tube	霓虹灯	mat_neon_tube_purple
neon tube	霓虹灯	mat_neon_tube_cyan
neon tube	霓虹灯	mat_neon_tube_blood_red
